"","TranscritID","Weight formula","Weight error","mRNA formula","mRNA error","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"26","Acc02850.1","Double sigmoid",0.132975667333564,"3_deg_log",0.577656148136379,0.136097781439624,6941.39903985636,0.59768654692343,1575689.22475208,30.8940325279896,17.9191153238951,0.369480707478125,2,"Average fit",1,"Optimisation converges to different values"
"27","Acc02931.1","Double sigmoid",0.132975667333564,"3_deg_log",0.458284979187466,0.124336596164397,26869.1980017165,2.78534858383662,1669861.86912156,7.72724741758308,4.37797649586085,0.216703891429178,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"28","Acc03033.1","Double sigmoid",0.132975667333564,"3_deg_log",0.610290507503015,1.94473024182466,16234.117400249,1.45042453257536,45906.5555941831,5.49927444535072,2.08689984737138,0.117261318973829,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"29","Acc03164.1","Double sigmoid",0.132975667333564,"3_deg_log",0.439721647423475,0.0645432600073673,5246.61691887271,2.64815804260748,145268.066844103,1.78707055500082,0.763414665519354,0.19602201253391,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"30","Acc03297.1","Double sigmoid",0.132975667333564,"3_deg_log",0.463064102424315,0.517039600628481,6924.20679397318,3.33291233105263,76755.4402155352,5.73142936598108,3.02945071173533,0.114638696283238,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"31","Acc03418.1","Double sigmoid",0.132975667333564,"3_deg_log",0.944905594393648,1.47535234107989,5060.59009282646,1.02218482265639,23674.1840035921,6.90191502417217,2.87090739582603,0.519707390437893,-1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"32","Acc03500.1","Double sigmoid",0.132975667333564,"3_deg_log",0.496589774839599,2.18431740245188,17355.6789145682,4.76774961418131,3825.24843747344,0.48143070471657,0.224952702533071,0.17164795165056,6,"Accurate fit",1,"Optimisation converges to different values"
"33","Acc03563.1","Double sigmoid",0.132975667333564,"3_deg_log",0.605936270453345,0.848832391237216,11873.3767109239,2.10557921761316,121484.517328921,8.68497613216748,4.74872821656105,0.366713133271188,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"34","Acc03723.1","Double sigmoid",0.132975667333564,"3_deg_log",0.457661178918345,9.28576753834365,48753.1822480366,2.69496184215919,149981.963777558,28.5662922165203,10.7033579203302,0.195879653679495,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"35","Acc03901.1","Double sigmoid",0.132975667333564,"3_deg_log",0.479479762361367,0.427270892477773,8177.67162372433,3.24241450637208,109988.148526021,5.74671331217973,2.5290548512358,0.152994145938929,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"36","Acc03929.1","Double sigmoid",0.132975667333564,"3_deg_log",0.645467465703314,0.849000107371908,15539.1349795269,0.2607543613914,1758.73531402206,0.0960907072633559,0.0350224099077986,0.212999189953808,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"37","Acc03953.1","Double sigmoid",0.132975667333564,"3_deg_log",0.593391004563503,0.0228446172620762,27909.7728340919,2.47221223682587,68444.6761324707,0.0560231156006801,0.0859069405055689,0.608943759230066,-3,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"38","Acc04409.1","Double sigmoid",0.132975667333564,"3_deg_log",0.462324328001397,0.303308927834007,16356.6913186491,3.2990136584576,482122.017448881,8.9401890241006,4.11760272509604,0.168250787402558,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"39","Acc04568.1","Double sigmoid",0.132975667333564,"3_deg_log",0.476309202034148,0.231174572885499,2774.53151993193,2.79858347445754,47975.1342209383,3.99729867293848,2.43683230910297,0.319820506140989,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"40","Acc04622.1","Double sigmoid",0.132975667333564,"3_deg_log",0.439681158010035,0.748652457800058,37263.2694872085,2.34486871763585,446777.247981856,8.97615505546504,4.13155875616332,0.247834585658685,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"41","Acc04898.1","Double sigmoid",0.132975667333564,"3_deg_log",0.459746643828772,2.11584875774461,19100.4349825361,2.84425252463894,87730.6580080053,9.71835478783994,4.44192238623033,0.128355930707492,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
