"","TranscritID","Weight formula","mRNA formula","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"2700","Acc25910.1","Double sigmoid","3_deg_log",0.0910153046253546,9994.55933363293,2.76765831911761,3.92316890269272,430810.450343787,1.97396698642082,0.225464098930958,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2701","Acc25913.1","Double sigmoid","3_deg_log",2.01459210552365,50412.2326439701,2.8050642886262,13.0215082140216,325844.273717133,7.3242881912246,0.225935909798228,5,"Pretty accurate fit",4,"Optimisation nearly converges to 2 identical values"
"2702","Acc25923.1","Double sigmoid","3_deg_log",0.322165137147872,5646.53491630824,3.68304384646435,3.26019582403794,57140.9113891271,1.54214523494789,0.303865418612315,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"2703","Acc25925.1","Double sigmoid","3_deg_log",0.284326125152798,100446.995142587,0.910843121877698,3.82183666220445,1350181.97303504,1.14462711532023,0.383956882849158,2,"Average fit",10,"Optimisation converges to 3 indentical values"
"2704","Acc25930.1","Double sigmoid","3_deg_log",10.8530839266816,28255.9775136228,3.46378116701666,4.31435262408391,11232.4065266146,2.11014624101365,0.28139089109513,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2705","Acc25931.1","Double sigmoid","3_deg_log",0.593637267091192,36150.8966258647,2.0168468257877,4.23208419606931,257722.428771567,1.85616814078111,0.207014546175876,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2706","Acc25938.1","Double sigmoid","3_deg_log",1.29792517868011,4080.06729170233,1.05227068974081,71.0752166286838,223427.106108111,46.4229218489481,0.414824252194597,1,"Inaccurate fit",6,"Optimisation converges to 2 indentical values"
"2707","Acc25944.1","Double sigmoid","3_deg_log",2.33523667305655,23579.7994873138,5.04637350261703,5.07394653742148,51233.6258427935,3.00857815775505,0.154854583495599,6,"Accurate fit",8,"Optimisation nearly converges to 3 identical values"
"2708","Acc25946.1","Double sigmoid","3_deg_log",0.749982150660951,8484.38455472375,2.16868136649824,14.0146294431916,158544.447335449,7.14257087208166,0.197198936448306,6,"Accurate fit",4,"Optimisation nearly converges to 2 identical values"
"2709","Acc25953.1","Double sigmoid","3_deg_log",0.265903436484995,2685.48163389827,2.85873120237491,4.23367140193054,42757.8031489126,1.96047053950986,0.308175102218144,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"2710","Acc25966.1","Double sigmoid","3_deg_log",3.37861741273057,35278.870781444,3.80195974709623,6.63236889477416,69253.9156200297,3.53828589168998,0.3332351848531,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"2711","Acc25971.1","Double sigmoid","3_deg_log",0.889460716804371,6383.01365555388,2.93128544952576,3.02950049370178,21740.5250793765,1.88721254088073,0.217291969045163,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2712","Acc25973.1","Double sigmoid","3_deg_log",0.888011341331597,11450.9271789176,3.48936371582499,2.82070589183508,36373.0689656654,1.46673615924056,0.147498682897887,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"2713","Acc25981.1","Double sigmoid","3_deg_log",15.6944367233151,33982.9113812858,1.7606600928028,1.71869582124812,3721.46441535521,0.902557309699985,0.667954192852294,-4,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"2714","Acc25986.1","Double sigmoid","3_deg_log",4.59934535364189,23002.9638078783,3.65014064220454,3.30162317975848,16512.5931348251,1.3613434901499,0.157356387099187,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2715","Acc25987.1","Double sigmoid","3_deg_log",0.0848628529492199,1214.04195402065,1.91056321171258,0.535749548075999,7664.39502807033,0.142845763254824,0.448614388904505,1,"Inaccurate fit",10,"Optimisation converges to 3 indentical values"
"2716","Acc25991.1","Double sigmoid","3_deg_log",0.976437485848083,18963.3856232152,1.96031884613138,2.01900153394383,39211.014752046,0.553931064334583,0.280866685746968,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2717","Acc25999.1","Double sigmoid","3_deg_log",0.853884788936218,41609.2964595855,2.08757744455841,13.0109555105383,634016.101557353,7.81952701289956,0.325507141229327,3,"Average fit",4,"Optimisation nearly converges to 2 identical values"
"2718","Acc26000.1","Double sigmoid","3_deg_log",1.01293955143474,11237.4493952421,2.10855138992238,4.51761180402405,50117.930495618,2.34288092920982,0.177653867964323,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2719","Acc26002.1","Double sigmoid","3_deg_log",0.287011375561652,2420.0533273393,3.19687037589824,10.3200639885634,87017.8234050956,6.46954138621206,0.186469737881187,6,"Accurate fit",1,"Optimisation converges to different values"
"2720","Acc26005.1","Double sigmoid","3_deg_log",0.306128613608346,2140.78570896812,4.02886159964944,9.73078331834655,68048.2677507338,7.59612479973357,0.111567784353044,7,"Very accurate fit",4,"Optimisation nearly converges to 2 identical values"
"2721","Acc26013.1","Double sigmoid","3_deg_log",6.25185969877081,11334.3668377209,3.27833840864105,5.50031759707484,9971.85163663785,2.81577553355054,0.222897311088021,5,"Pretty accurate fit",6,"Optimisation converges to 2 indentical values"
"2722","Acc26016.1","Double sigmoid","3_deg_log",0.109772910572463,18110.4664463121,3.13020074577032,3.98349435709361,657201.676779759,2.76986548735959,0.156780922143938,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2723","Acc26023.1","Double sigmoid","3_deg_log",0.371306572104718,18704.2791461671,3.04695857914197,3.34068880007877,168284.594325804,1.21893712669336,0.190923349241939,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2724","Acc26024.1","Double sigmoid","3_deg_log",0.126022411831377,15589.6607224201,4.0564384849676,14.2815572744383,1766706.64575291,10.1972217875767,0.380058965893591,2,"Average fit",6,"Optimisation converges to 2 indentical values"
"2725","Acc26030.1","Double sigmoid","3_deg_log",0.811120620630563,15064.6695195945,1.3574748580956,6.0820899194152,112960.603261718,3.90553684440046,0.297500070315541,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"2726","Acc26046.1","Double sigmoid","3_deg_log",0.324686421450814,16007.2564294085,3.08730695126649,3.53487499075944,174271.687033149,1.47175463133643,0.170884360379986,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"2727","Acc26047.1","Double sigmoid","3_deg_log",0.282056565267595,4256.57000248112,1.88064334255912,9.73567233677392,146922.908117318,5.33582126947563,0.269044006258896,4,"Pretty accurate fit",6,"Optimisation converges to 2 indentical values"
"2728","Acc26067.1","Double sigmoid","3_deg_log",0.204132946918906,1514.14530996535,2.42471614219336,4.65180068542827,34504.484930269,2.72360288381867,0.223176233345101,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
