	Photosynthesis	Cellular respiration	Carbohydrate metabolism	Amino acid metabolism	Lipid metabolism	Nucleotide metabolism	Coenzyme metabolism	Polyamine metabolism	Secondary metabolism	Redox homeostasis	Phytohormone action	Chromatin organisation	Cell cycle organisation	DNA damage response	RNA biosynthesis	RNA processing	Protein biosynthesis	Protein modification	Protein homeostasis	Cytoskeleton organisation	Cell wall organisation	Vesicle trafficking	Protein translocation	Solute transport	Nutrient uptake	External stimuli response	Multi-process regulation	not assigned	Enzyme classification
48	Acc15237.1	Acc01500.1	Acc16258.1	Acc07071.1	Acc31296.1	Acc22063.1	Acc14725.1		Acc31056.1	Acc19511.1	Acc19562.1	Acc07748.1	Acc28291.1	Acc25976.1	Acc20907.1	Acc18363.1	Acc21095.1	Acc18397.1	Acc10891.1	Acc02473.1	Acc02292.1	Acc08051.1	Acc10007.1	Acc15103.1	Acc28593.1	Acc10192.1	Acc17668.1	Acc00163.1	Acc14847.1
49	Acc27968.1	Acc02146.1	Acc21322.1	Acc20809.1	Acc07795.1	Acc22065.1	Acc25702.1		Acc14889.1	Acc27369.1	Acc21495.1	Acc07975.1	Acc00461.1	Acc25131.1	Acc25174.1	Acc21843.1	Acc15691.1	Acc08250.1	Acc24170.1	Acc03767.1	Acc04044.1	Acc07047.1	Acc22416.1	Acc15689.1	Acc29208.1	Acc10248.1	Acc22330.1	Acc00164.1	Acc15127.1
50	Acc29563.1	Acc02771.1	Acc21472.1	Acc27420.1	Acc11114.1	Acc26814.1	Acc31952.1		Acc26015.1	Acc31734.1	Acc26207.1	Acc10536.1	Acc03609.1	Acc16205.1	Acc21457.1	Acc26601.1	Acc20004.1	Acc08315.1	Acc07747.1	Acc30564.1	Acc04046.1	Acc22674.1	Acc07014.1	Acc20811.1	Acc04230.1	Acc13136.1	Acc23371.1	Acc00165.1	Acc15491.1
51	Acc03435.1	Acc24906.1	Acc21526.1	Acc17317.1	Acc21451.1	Acc30543.1	Acc28560.1		Acc05377.1	Acc22555.1	Acc30018.1	Acc12172.1	Acc09009.1	Acc00217.1	Acc06632.1	Acc00928.1	Acc33653.1	Acc05456.1	Acc09323.1	Acc09370.1	Acc05817.1	Acc28402.1	Acc00135.1	Acc22684.1	Acc04563.1	Acc14166.1	Acc27811.1	Acc00166.1	Acc16837.1
52	Acc20232.1	Acc05325.1	Acc24121.1	Acc20654.1	Acc27139.1	Acc13156.1	Acc31262.1		Acc06366.1	Acc01338.1	Acc32061.1	Acc15097.1	Acc09419.1	Acc10636.1	Acc21485.1	Acc09113.1	Acc32385.1	Acc08009.1	Acc11678.1	Acc14573.1	Acc06692.1	Acc31171.1	Acc00136.1	Acc25271.1	Acc23575.1	Acc14732.1	Acc33569.1	Acc00168.2	Acc16838.1
53	Acc14008.1	Acc24227.1	Acc24210.1	Acc01217.1	Acc04363.1	Acc22820.1	Acc08378.1		Acc09580.1	Acc03299.1	Acc00854.1	Acc15099.1	Acc09484.1	Acc33191.1	Acc22901.1	Acc09830.1	Acc18187.1	Acc30481.1	Acc17100.1	Acc18689.1	Acc16256.1	Acc12637.1	Acc08789.1	Acc26155.1	Acc27366.1	Acc16299.1	Acc04292.1	Acc00169.1	Acc17778.1
54	Acc32875.1	Acc06273.1	Acc24629.1	Acc10553.1	Acc20540.1	Acc23169.1	Acc22990.1		Acc09993.1	Acc20913.1	Acc10209.1	Acc16197.1	Acc14997.1	Acc22757.1	Acc10269.1	Acc28049.1	Acc24595.1	Acc32555.1	Acc19382.1	Acc09659.1	Acc18364.1	Acc17758.1	Acc11794.1	Acc26156.1	Acc00527.1	Acc18192.1	Acc22805.1	Acc00172.1	Acc17891.2
55	Acc13475.1	Acc14173.1	Acc33185.1	Acc16521.1	Acc11644.1	Acc33171.1	Acc07091.1		Acc13525.1	Acc25387.1	Acc20433.1	Acc17300.1	Acc17193.1	Acc32117.1	Acc14765.1	Acc03371.1	Acc04974.1	Acc12887.1	Acc21608.1	Acc17548.1	Acc18365.1	Acc04620.1	Acc12035.1	Acc28239.1	Acc10271.1	Acc21038.1	Acc22806.1	Acc00173.1	Acc17953.1
56	Acc19108.1	Acc17985.1	Acc05333.1	Acc31815.1	Acc12199.1	Acc11834.1	Acc02642.1		Acc13740.1	Acc31830.1	Acc20440.1	Acc20675.1	Acc19559.1	Acc03985.1	Acc07994.1	Acc08216.1	Acc10973.1	Acc17584.1	Acc26315.1	Acc13236.1	Acc21651.1	Acc04651.1	Acc12484.1	Acc30982.1	Acc14368.1	Acc22104.1	Acc27298.1	Acc00175.1	Acc18565.1
57	Acc21726.1	Acc29631.1	Acc12719.1	Acc04755.1	Acc01729.1	Acc11991.1	Acc07062.1		Acc13742.1	Acc19232.1	Acc22706.1	Acc23925.1	Acc26056.1	Acc22198.1	Acc10656.1	Acc14239.1	Acc24018.1	Acc22375.1	Acc33293.1	Acc23084.1	Acc22884.1	Acc06120.1	Acc29152.1	Acc32461.1	Acc32658.1	Acc23184.1	Acc33360.1	Acc00180.1	Acc19224.1
58	Acc26430.1	Acc32711.1	Acc12720.1	Acc23776.1	Acc02970.1	Acc11991.2	Acc11118.1		Acc15004.1	Acc15684.1	Acc14056.1	Acc25126.1	Acc31703.1	Acc12297.1	Acc26180.1	Acc19331.1	Acc24259.1	Acc05702.1	Acc06711.1	Acc13987.1	Acc25485.1	Acc06532.1	Acc24092.1	Acc07556.1	Acc09743.1	Acc23839.1	Acc33361.1	Acc00187.1	Acc19994.1
59	Acc33642.1	Acc12783.1	Acc12922.1	Acc29296.1	Acc21909.1	Acc07867.1	Acc11119.1		Acc17359.1	Acc20012.1	Acc28461.1	Acc26149.1	Acc07845.1	Acc00803.1	Acc16789.1	Acc32783.1	Acc15938.1	Acc30663.1	Acc11446.1	Acc32857.1	Acc26349.1	Acc11535.1	Acc15190.1	Acc12092.1	Acc17469.1	Acc25712.1	Acc07123.1	Acc00192.1	Acc20182.1
60	Acc07179.1	Acc17678.1	Acc15261.1	Acc30351.1	Acc24710.1	Acc11024.1	Acc03925.1		Acc19469.1	Acc09469.1	Acc09229.1	Acc26150.1	Acc11048.1	Acc00310.1	Acc26262.1	Acc33386.1	Acc24804.1	Acc07189.1	Acc21285.1	Acc11058.1	Acc30789.1	Acc14770.1	Acc07150.1	Acc25901.1	Acc30383.1	Acc26849.1	Acc07112.1	Acc00201.1	Acc20782.1
61	Acc10856.1	Acc24642.1	Acc23417.1	Acc32422.1	Acc26667.1	Acc13437.1	Acc27754.1		Acc20592.1	Acc17239.1	Acc17005.1	Acc32479.1	Acc04611.1	Acc04130.1	Acc08639.1	Acc05725.1	Acc00361.1	Acc10873.1	Acc24265.1	Acc04747.1	Acc33075.1	Acc16602.1	Acc10818.1	Acc30212.1	Acc32443.1	Acc28494.1	Acc10772.1	Acc00203.1	Acc20783.1
62	Acc02165.1	Acc22910.1	Acc24234.1	Acc00924.1	Acc27526.1	Acc22736.1	Acc15083.1		Acc25053.1	Acc12318.1	Acc30326.1	Acc32480.1	Acc16789.1	Acc08438.1	Acc09569.1	Acc30697.1	Acc14766.1	Acc19160.1	Acc06781.1	Acc04854.1	Acc04807.1	Acc20965.1	Acc19725.1	Acc32277.1	Acc02496.1	Acc29257.1	Acc15896.1	Acc00204.1	Acc20808.1
63	Acc04963.1	Acc06799.1	Acc25497.1	Acc09824.1	Acc08377.1	Acc01962.1	Acc26131.1		Acc26061.1	Acc16054.1	Acc32393.1	Acc01648.1	Acc22808.1	Acc27569.1	Acc16792.1	Acc30697.2	Acc25741.1	Acc26520.1	Acc11272.1	Acc23767.1	Acc05693.1	Acc21034.1	Acc20152.1	Acc00531.1	Acc04153.1	Acc29625.1	Acc17331.1	Acc00210.1	Acc21015.1
64	Acc13805.1	Acc27069.1	Acc30246.1	Acc12800.1	Acc01534.1	Acc04325.1	Acc01916.1		Acc32631.1	Acc28188.1	Acc01630.1	Acc02894.1	Acc23625.1	Acc32175.1	Acc17349.1	Acc08435.1	Acc15374.1	Acc19362.1	Acc18442.1	Acc23882.1	Acc12099.1	Acc23635.1	Acc14060.1	Acc00894.1	Acc00176.1	Acc29829.1	Acc20790.1	Acc00215.1	Acc21540.1
65	Acc19008.1	Acc07733.1	Acc32312.1	Acc28227.1	Acc02806.1	Acc32455.1	Acc09109.1		Acc32632.1	Acc01282.1	Acc02875.1	Acc03673.1	Acc26262.1	Acc19143.1	Acc14550.1	Acc09621.1	Acc15382.1	Acc33268.1	Acc21187.1	Acc08413.1	Acc16646.1	Acc23674.1	Acc32936.1	Acc03938.1	Acc01979.1	Acc31237.1	Acc25252.1	Acc00216.1	Acc21619.1
66	Acc14674.1	Acc16182.1	Acc05937.1	Acc02529.1	Acc03661.1	Acc20855.1	Acc15997.1		Acc32635.1	Acc02178.1	Acc31756.1	Acc16862.1	Acc33363.1	Acc12592.1	Acc18479.1	Acc16915.1	Acc21009.1	Acc06949.1	Acc22158.1	Acc13407.1	Acc22369.1	Acc25745.1	Acc07874.1	Acc03964.1	Acc01988.1	Acc31419.1	Acc28141.1	Acc00216.2	Acc23007.1
67	Acc25648.1	Acc17123.1	Acc09878.1	Acc04388.1	Acc12567.1	Acc16164.1	Acc31614.1		Acc32636.1	Acc03839.1	Acc04722.1	Acc24865.1	Acc06023.1	Acc10696.1	Acc06496.1	Acc17446.1	Acc12886.1	Acc07392.1	Acc22201.1	Acc16946.1	Acc23840.1	Acc31092.1	Acc11012.1	Acc03966.1	Acc08837.1	Acc33014.1	Acc28996.1	Acc00224.1	Acc23281.1
68	Acc13510.1	Acc13650.1	Acc10665.1	Acc14328.1	Acc17822.1	Acc16164.2	Acc24015.1		Acc33493.1	Acc27661.1	Acc06951.1	Acc25882.1	Acc30996.1	Acc22531.1	Acc14283.1	Acc20664.1	Acc17585.1	Acc21121.1	Acc23055.1	Acc24850.1	Acc27035.1	Acc31899.1	Acc03435.1	Acc03969.1	Acc14665.1	Acc10888.1	Acc29425.1	Acc00227.1	Acc23730.1
69	Acc19033.1	Acc14986.1	Acc13056.1	Acc28373.1	Acc27844.1	Acc20638.1	Acc00387.1		Acc00868.1	Acc05061.1	Acc22643.1	Acc27699.1	Acc15352.1	Acc26799.1	Acc20739.1	Acc30345.1	Acc17906.1	Acc05067.1	Acc03750.1	Acc30210.1	Acc30651.1	Acc07573.1	Acc20232.1	Acc04228.1	Acc25638.1	Acc20959.1	Acc14320.1	Acc00238.1	Acc24167.1
70	Acc09470.1	Acc21625.1	Acc23282.1	Acc28374.1	Acc04339.1	Acc25098.1	Acc18189.1		Acc06455.1	Acc07257.1	Acc23740.1	Acc30211.1	Acc28627.1	Acc05214.1	Acc21340.1	Acc01831.1	Acc22373.1	Acc03758.1	Acc08579.1	Acc32273.1	Acc31943.1	Acc09220.1	Acc13775.1	Acc04229.1	Acc27406.1	Acc30203.1	Acc32708.1	Acc00240.1	Acc24244.1
71	Acc17243.1	Acc26328.1	Acc23564.1	Acc31142.1	Acc22352.1	Acc15860.1	Acc03581.1		Acc09769.1	Acc12171.1	Acc28692.1	Acc30253.1	Acc29118.1	Acc24445.1	Acc25192.1	Acc17029.1	Acc27039.1	Acc09354.1	Acc10086.1	Acc11901.1	Acc18296.1	Acc09403.1	Acc19421.1	Acc04783.1	Acc09555.1	Acc32268.1	Acc12904.1	Acc00243.1	Acc25257.1
72	Acc05161.1	Acc08480.1	Acc26173.1	Acc16025.1	Acc22835.1	Acc27506.1	Acc20141.1		Acc09770.1	Acc14912.1	Acc29493.1	Acc32275.1	Acc29529.1	Acc13189.1	Acc32744.1	Acc12636.1	Acc29553.1	Acc17136.1	Acc16859.1	Acc05198.1	Acc22858.1	Acc13981.1	Acc00708.1	Acc05981.1	Acc17329.1	Acc02108.1	Acc15779.1	Acc00246.1	Acc25258.1
73	Acc24127.1	Acc24757.1	Acc30363.1	Acc16091.1	Acc26851.1	Acc25923.1	Acc08964.1		Acc09772.1	Acc16308.1	Acc06305.1	Acc32318.1	Acc01913.1	Acc24918.1	Acc12739.1	Acc14943.1	Acc02510.1	Acc20825.1	Acc22798.1	Acc07294.1	Acc26684.1	Acc15881.1	Acc12409.1	Acc09275.1	Acc02332.1	Acc00391.1	Acc19917.1	Acc00247.1	Acc25259.1
74	Acc20250.1	Acc05265.1	Acc30906.1	Acc01964.1	Acc27018.1	Acc30192.1	Acc05100.1		Acc20765.1	Acc16953.1	Acc29841.1	Acc16944.1	Acc03086.1	Acc06039.1	Acc17576.1	Acc17759.1	Acc04404.1	Acc27683.1	Acc24869.1	Acc07298.1	Acc33112.1	Acc15933.1	Acc29223.1	Acc09785.1	Acc07664.1	Acc14135.1	Acc22595.1	Acc00257.1	Acc25260.1
75	Acc22666.1	Acc07211.1	Acc32432.1	Acc24982.1	Acc27253.1	Acc32245.1	Acc16515.1		Acc22685.1	Acc24386.1	Acc06194.1	Acc24738.1	Acc03087.1	Acc31012.1	Acc09708.1	Acc18240.1	Acc05557.1	Acc09235.1	Acc27707.1	Acc11135.1	Acc29934.1	Acc17176.1	Acc10838.1	Acc10274.1	Acc12550.1	Acc18257.1	Acc28644.1	Acc00264.1	Acc25261.1
76	Acc28720.1	Acc10859.1	Acc00297.1	Acc29165.1	Acc33147.1	Acc05528.1	Acc22256.1		Acc22686.1	Acc24431.1	Acc18108.1	Acc27425.1	Acc04445.1	Acc07930.1	Acc00611.1	Acc07520.1	Acc30507.1	Acc12437.1	Acc30255.1	Acc11141.1	Acc14074.1	Acc19774.1	Acc08410.1	Acc11014.1	Acc14463.1	Acc29860.1	Acc29104.1	Acc00281.1	Acc25262.1
77	Acc09438.1	Acc24393.1	Acc01444.1	Acc11334.1	Acc03290.1	Acc08083.1	Acc26913.1		Acc25218.1	Acc25912.1	Acc29764.1	Acc05489.1	Acc23450.1	Acc06468.1	Acc09956.1	Acc07521.1	Acc13522.1	Acc17014.1	Acc32322.1	Acc11729.1	Acc14075.1	Acc28128.1	Acc07638.1	Acc12885.1	Acc15428.1	Acc31393.1	Acc29514.1	Acc00288.1	Acc25263.1
78	Acc17209.1	Acc01653.1	Acc02141.1	Acc16875.1	Acc15564.1	Acc19390.1	Acc31808.1		Acc27370.1	Acc25913.1	Acc00232.1	Acc08066.1	Acc07994.1	Acc20964.1	Acc23691.1	Acc13080.1	Acc13743.1	Acc29202.1	Acc01789.1	Acc12921.1	Acc26689.1	Acc32852.1	Acc14242.1	Acc13179.1	Acc16108.1	Acc33045.1	Acc01493.1	Acc00296.1	Acc25266.1
79	Acc32545.1	Acc02898.1	Acc03525.1	Acc24849.1	Acc20317.1	Acc33297.1	Acc25939.1		Acc07297.1	Acc29186.1	Acc06100.1	Acc06737.1	Acc10656.1	Acc21035.1	Acc14763.1	Acc32123.1	Acc19052.1	Acc03384.1	Acc01791.1	Acc13213.1	Acc10481.1	Acc06670.1	Acc14864.1	Acc13180.1	Acc22484.1	Acc22695.1	Acc02760.1	Acc00299.1	Acc25267.1
80	Acc21889.1	Acc19397.1	Acc10225.1	Acc07063.1	Acc21320.1	Acc13846.1	Acc32228.1		Acc11136.1	Acc32260.1	Acc11357.1	Acc07252.1	Acc26180.1	Acc16508.1	Acc16611.1	Acc26003.1	Acc19467.1	Acc12445.1	Acc06295.1	Acc14387.1	Acc06249.1	Acc10954.1	Acc25878.1	Acc13498.1	Acc32592.1	Acc28376.1	Acc06778.1	Acc00307.1	Acc26921.1
81	Acc26646.1	Acc20548.1	Acc24911.1	Acc00759.1	Acc25203.1	Acc18975.1	Acc23130.1		Acc04808.1	Acc05670.1	Acc12479.1	Acc07887.1	Acc18555.1	Acc11737.1	Acc25739.1	Acc25902.1	Acc01296.1	Acc15616.1	Acc07067.1	Acc21834.1	Acc14186.1	Acc21304.1	Acc18346.1	Acc14924.1	Acc03376.1	Acc31144.1	Acc07495.1	Acc00315.1	Acc27278.1
82	Acc06956.1	Acc25022.1	Acc27996.1	Acc10118.1	Acc00909.1	Acc28320.1	Acc01331.1		Acc07449.1	Acc13442.1	Acc13090.1	Acc10999.1	Acc10360.1	Acc12089.1	Acc31906.1	Acc15320.1	Acc02575.1	Acc20073.1	Acc08649.1	Acc23418.1	Acc32834.1	Acc24279.1	Acc21897.1	Acc17521.1	Acc04166.1	Acc33249.1	Acc07699.1	Acc00322.1	Acc27589.1
83	Acc21128.1	Acc26323.1	Acc16526.1	Acc07192.1	Acc12831.1	Acc07790.1	Acc02557.1		Acc10245.1	Acc16408.1	Acc14682.1	Acc13001.1	Acc23253.1	Acc29988.1	Acc00919.1	Acc25442.1	Acc03236.1	Acc20275.1	Acc08994.1	Acc23594.1	Acc21082.1	Acc12438.1	Acc29309.1	Acc17586.1	Acc04167.1	Acc11612.1	Acc11271.1	Acc00329.1	Acc27742.1
84	Acc02204.1	Acc33309.1	Acc31824.1	Acc02333.1	Acc23409.1	Acc15341.1	Acc17942.1		Acc11335.1	Acc16924.1	Acc22516.1	Acc16316.1	Acc08238.1	Acc08372.1	Acc09817.1	Acc08501.1	Acc20368.1	Acc29197.1	Acc11558.1	Acc23594.2	Acc05458.1	Acc07301.1	Acc07005.1	Acc22772.1	Acc04459.1	Acc12229.1	Acc16144.1	Acc00338.1	Acc27743.1
85	Acc24809.1	Acc14002.1	Acc14157.1	Acc04079.1	Acc15787.1	Acc19671.1	Acc18560.1		Acc23843.1	Acc22740.1	Acc22541.1	Acc21233.1	Acc29712.1	Acc13322.1	Acc10069.1	Acc11255.1	Acc09055.1	Acc22644.1	Acc11941.1	Acc24104.1	Acc14042.1	Acc10730.1	Acc07354.1	Acc23137.1	Acc05086.1	Acc33027.1	Acc11454.1	Acc00341.1	Acc27943.1
86	Acc02413.1	Acc32882.1	Acc33024.1	Acc04080.1	Acc19907.1	Acc20988.1	Acc29585.1		Acc30936.1	Acc28820.1	Acc23235.1	Acc22299.1	Acc32760.1	Acc15118.1	Acc01504.1	Acc03197.1	Acc14783.1	Acc28694.1	Acc11981.1	Acc26594.1	Acc32909.1	Acc11132.1	Acc20999.1	Acc23808.1	Acc14626.1	Acc05454.1	Acc14883.1	Acc00358.1	Acc28340.1
87	Acc03795.1	Acc14659.1	Acc08520.1	Acc23105.1	Acc28915.1	Acc31560.1	Acc13362.1		Acc05332.1	Acc30620.1	Acc24065.1	Acc23333.1	Acc25984.1	Acc16973.1	Acc02775.1	Acc20376.1	Acc25761.1	Acc04650.1	Acc12282.1	Acc32656.1	Acc03173.1	Acc17798.1	Acc02031.1	Acc31213.1	Acc20281.1	Acc08007.1	Acc26030.1	Acc00369.1	Acc28355.1
88	Acc23569.1	Acc25634.1	Acc12454.1	Acc08366.1	Acc07507.1	Acc05576.1	Acc19218.1		Acc09994.1	Acc02905.1	Acc28585.1	Acc26967.1	Acc30110.1	Acc20862.1	Acc18498.1	Acc04521.1	Acc08403.1	Acc07033.1	Acc13870.1	Acc05933.1	Acc20468.1	Acc22245.1	Acc04486.1	Acc00689.1	Acc23462.1	Acc01558.1	Acc16711.1	Acc00374.1	Acc29596.1
89	Acc03330.1	Acc00985.1	Acc29188.1	Acc13307.1	Acc08233.1	Acc05631.1	Acc06533.1		Acc24233.1	Acc05378.1	Acc29159.1	Acc06633.1	Acc00181.1	Acc23011.1	Acc31584.1	Acc08681.1	Acc13423.1	Acc23672.1	Acc15044.1	Acc21864.1	Acc30121.1	Acc26902.1	Acc24201.1	Acc00906.1	Acc25621.1	Acc15420.1	Acc16711.2	Acc00377.1	Acc30016.1
90	Acc08224.1	Acc10438.1	Acc04867.1	Acc16454.1	Acc14267.1	Acc14894.1	Acc20777.1		Acc32527.1	Acc07933.1	Acc31065.1	Acc06634.1	Acc01982.1	Acc25326.1	Acc22085.1	Acc11892.1	Acc16934.1	Acc06291.1	Acc16798.1	Acc26621.1	Acc30122.1	Acc20785.1	Acc25642.1	Acc02371.1	Acc27476.1	Acc22492.1	Acc28090.1	Acc00379.1	Acc30583.1
91	Acc05249.1	Acc05612.1	Acc11688.1	Acc16978.1	Acc18047.1	Acc14895.1	Acc25231.1		Acc22366.1	Acc01992.1	Acc31657.1	Acc21486.1	Acc01991.1	Acc27549.1	Acc26833.1	Acc12239.1	Acc21514.1	Acc07035.1	Acc18222.1	Acc30902.1	Acc32177.1	Acc25255.1	Acc02497.1	Acc07688.1	Acc27477.1	Acc29177.1	Acc28098.1	Acc00382.1	Acc32059.1
92	Acc24410.1	Acc30575.1	Acc27998.1	Acc23028.1	Acc32766.1	Acc19300.1	Acc21198.1		Acc27031.1	Acc15147.1	Acc32017.1	Acc21487.1	Acc06962.1	Acc09225.1	Acc02210.1	Acc14694.1	Acc22951.1	Acc21970.1	Acc20858.1	Acc00105.1	Acc32178.1	Acc17588.1	Acc05569.1	Acc09795.1	Acc27885.1	Acc28048.1	Acc28955.1	Acc00385.1	Acc32347.1
93	Acc17554.1	Acc33526.1	Acc00381.1	Acc04249.1	Acc00819.1	Acc26008.1	Acc13942.1		Acc03153.1	Acc24970.1	Acc07829.1	Acc05731.1	Acc06968.1	Acc19771.1	Acc24803.1	Acc23531.1	Acc30053.1	Acc26713.1	Acc21135.1	Acc02087.1	Acc32179.1	Acc22391.1	Acc30525.1	Acc10061.1	Acc00106.1	Acc19940.1	Acc07846.1	Acc00394.1	Acc32873.1
94	Acc30578.1	Acc04705.1	Acc03134.1	Acc15166.1	Acc10174.1	Acc30536.1	Acc18877.1		Acc09433.1	Acc25593.1	Acc08103.1	Acc30701.1	Acc10336.1	Acc00723.1	Acc18199.1	Acc25679.1	Acc32108.1	Acc29831.1	Acc22525.1	Acc03447.1	Acc33510.1	Acc07036.1	Acc14775.1	Acc12867.1	Acc04078.1	Acc28889.1	Acc11047.1	Acc00398.1	Acc01044.1
95	Acc28542.1	Acc23724.1	Acc04618.1	Acc22781.1	Acc30428.1	Acc33414.1	Acc28211.1		Acc17205.1	Acc00272.1	Acc11069.1	Acc28450.1	Acc29898.1	Acc10090.1	Acc22301.1	Acc29908.1	Acc13917.1	Acc13395.1	Acc24691.1	Acc08757.1	Acc00959.1	Acc07040.1	Acc16597.1	Acc14537.1	Acc06355.1	Acc09711.1	Acc17228.1	Acc00401.1	Acc02477.1
96	Acc03061.1	Acc16456.1	Acc11162.1	Acc25569.1	Acc32493.1	Acc01686.1	Acc00262.1		Acc00929.1	Acc10000.1	Acc04878.1	Acc31348.1	Acc31016.1	Acc18694.1	Acc26969.1	Acc31997.1	Acc18907.1	Acc22955.1	Acc25319.1	Acc24886.1	Acc04659.1	Acc10970.1	Acc25750.1	Acc15848.1	Acc06356.1	Acc17494.1	Acc17967.1	Acc00406.1	Acc08013.1
97	Acc03282.1	Acc18166.1	Acc13557.1	Acc32913.1	Acc11419.1	Acc02931.1	Acc14377.1		Acc09832.1	Acc15200.1	Acc09611.1	Acc30064.1	Acc31986.1	Acc16040.1	Acc15521.1	Acc15682.1	Acc25159.1	Acc00124.1	Acc26097.1	Acc28072.1	Acc06272.1	Acc24262.1	Acc31895.1	Acc16129.1	Acc06356.2	Acc06985.1	Acc22112.1	Acc00408.1	Acc11529.1
98	Acc13493.1	Acc26732.1	Acc19186.1	Acc06663.1	Acc14716.1	Acc01458.1	Acc19511.1		Acc03917.1	Acc16426.1	Acc11682.1	Acc32121.1	Acc32731.1	Acc18555.1	Acc28748.1	Acc20014.1	Acc08486.1	Acc08780.1	Acc29837.1	Acc01681.1	Acc10432.1	Acc06494.1	Acc07497.1	Acc17609.1	Acc08760.1	Acc20993.1	Acc26856.1	Acc00410.1	Acc12304.1
99	Acc20324.1	Acc29811.1	Acc23630.1	Acc10726.1	Acc09928.1	Acc09401.1	Acc27369.1		Acc03946.1	Acc19571.1	Acc12156.1	Acc06070.1	Acc00094.1	Acc15192.1	Acc09759.1	Acc17948.1	Acc08535.1	Acc15402.1	Acc30008.1	Acc02923.1	Acc14025.1	Acc21337.1	Acc01547.1	Acc18223.1	Acc14012.1	Acc05681.1	Acc29607.1	Acc00417.1	Acc18155.1
100	Acc31842.1	Acc09202.1	Acc33369.1	Acc24285.1	Acc09930.1	Acc16159.1	Acc31734.1		Acc26220.1	Acc20006.1	Acc14323.1	Acc31045.1	Acc02446.1	Acc31694.1	Acc01491.1	Acc22118.1	Acc24768.1	Acc02315.1	Acc32051.1	Acc07366.1	Acc19581.1	Acc22311.1	Acc02818.1	Acc22147.1	Acc14077.1	Acc18152.1	Acc09101.1	Acc00418.1	Acc18827.1
101	Acc01896.1	Acc15939.1	Acc03291.1	Acc07106.1	Acc13109.1	Acc17174.1	Acc31450.1		Acc13329.1	Acc22427.1	Acc15221.1	Acc11316.1	Acc05650.1	Acc30183.1	Acc02753.1	Acc26863.1	Acc27447.1	Acc02319.1	Acc02168.1	Acc11201.1	Acc23683.1	Acc26979.1	Acc03695.1	Acc22690.1	Acc28564.1	Acc29797.1	Acc09102.1	Acc00421.1	Acc27007.1
102	Acc03074.1	Acc17954.1	Acc30728.1	Acc07280.1	Acc18006.1	Acc27965.1	Acc15321.1		Acc03419.1	Acc25558.1	Acc17389.1	Acc12775.1	Acc06198.1	Acc15661.1	Acc07028.1	Acc29591.1	Acc30165.1	Acc04065.1	Acc08495.1	Acc15116.1	Acc29739.1	Acc00556.1	Acc27827.1	Acc26895.1	Acc31257.1	Acc30635.1	Acc14580.1	Acc00423.1	Acc29800.1
103	Acc14475.1	Acc03307.1	Acc09748.1	Acc16257.1	Acc23209.1	Acc05522.1	Acc12943.1		Acc20244.1	Acc28841.1	Acc19609.1	Acc17685.1	Acc08184.1	Acc14898.1	Acc28325.1	Acc00982.1	Acc32221.1	Acc30748.1	Acc11249.1	Acc19359.1	Acc30666.1	Acc00744.1	Acc15125.1	Acc29838.1	Acc32888.1	Acc24814.1	Acc00422.1	Acc00425.1	Acc30396.1
104	Acc32602.1	Acc29733.1	Acc17461.1	Acc06919.1	Acc29647.1	Acc08073.1	Acc23398.1		Acc24679.1	Acc33176.1	Acc23904.1	Acc22303.1	Acc08595.1	Acc26006.1	Acc01912.1	Acc15253.1	Acc03209.1	Acc30749.1	Acc16842.1	Acc26201.1	Acc31388.1	Acc00994.1	Acc26191.1	Acc00404.1	Acc32953.1	Acc06153.1	Acc07690.1	Acc00428.1	Acc32453.1
105	Acc04021.1	Acc19122.1	Acc21329.1	Acc04360.1	Acc07709.1	Acc08073.2	Acc05676.1		Acc20485.1	Acc08439.1	Acc25533.1	Acc26971.1	Acc15112.1	Acc20637.1	Acc04305.1	Acc25506.1	Acc20387.1	Acc07778.1	Acc01433.1	Acc27080.1	Acc31565.1	Acc01325.1	Acc00202.1	Acc01880.1	Acc14035.1	Acc08275.1	Acc11970.1	Acc00431.1	Acc32825.1
106	Acc11522.1	Acc21737.1	Acc03251.1	Acc04664.1	Acc09408.1	Acc20859.1	Acc30627.1		Acc19076.1	Acc12628.1	Acc30497.1	Acc03870.1	Acc16856.1	Acc25096.1	Acc19575.1	Acc15217.1	Acc00177.1	Acc16259.1	Acc02700.1	Acc33271.1	Acc31634.1	Acc02428.1	Acc08860.1	Acc03058.1	Acc29260.1	Acc12819.1	Acc11974.1	Acc00446.1	Acc33499.1
107	Acc12311.1	Acc26444.1	Acc20351.1	Acc23394.1	Acc16154.1	Acc23324.1	Acc22035.1		Acc27545.1	Acc16911.1	Acc32705.1	Acc13257.1	Acc20915.1	Acc12316.1	Acc25554.1	Acc19601.1	Acc08839.1	Acc16259.2	Acc03497.1	Acc04415.1	Acc04718.1	Acc02565.1	Acc17963.1	Acc06285.1	Acc32921.1	Acc17652.1	Acc20746.1	Acc00449.1	Acc00220.1
