,Read	HTSeq,HTSeq,HTSeq,HTSeq
,Actinidia00537.t1	3504,5338,3505,3319
,Actinidia00538.t1	4,10,2,11
,Actinidia00539.t1	491,636,462,342
,Actinidia00540.t1	477,601,418,360
,Actinidia00541.t1	13751,17508,11599,10475
,Actinidia00542.t1	208,281,154,264
,Actinidia00543.t1	9877,12728,9333,5985
,Actinidia00544.t1	31082,36101,27680,12406
,Actinidia00545.t1	5398,6592,4666,3991
,Actinidia00546.t1	0,7,1,11
,Actinidia00547.t1	1511,2034,1197,717
,Actinidia00548.t1	22,23,16,3
,Actinidia00549.t1	4870,6093,4119,3255
,Actinidia00550.t1	4559,5482,3873,4137
,Actinidia00551.t1	6,14,5,6
,Actinidia00552.t1	10,7,5,4
,Actinidia00553.t1	2495,3169,2462,1634
,Actinidia00554.t1	869,1086,769,599
,Actinidia00555.t1	249,324,180,172
,Actinidia00556.t1	291,331,248,140
,Actinidia00557.t1	7913,10926,6851,3321
,Actinidia00558.t1	9,7,2,11
,Actinidia00559.t1	217,289,184,160
,Actinidia00560.t1	812,1004,708,1426
,Actinidia00561.t1	42,89,65,105
,Actinidia00562.t1	40,56,36,77
,Actinidia00563.t1	14781,19877,12658,12202
,Actinidia00564.t1	14,8,13,7
,Actinidia00565.t1	0,0,0,0
,Actinidia00566.t2	2988,3960,2708,2509
,Actinidia00567.t1	587,875,534,1141
,Actinidia00568.t1	484,879,445,587
,Actinidia00569.t1	1176,1507,1001,850
,Actinidia00570.t2	8669,11559,6886,5019
,Actinidia00571.t1	963,1210,780,682
,Actinidia00572.t1	3177,4379,2948,1998
,Actinidia00573.t1	49,63,46,26
,Actinidia00574.t1	1505,2026,1155,1541
,Actinidia00575.t1	5687,7183,4732,2915
,Actinidia00576.t1	11191,15946,9603,2802
,Actinidia00577.t1	179,150,127,57
,Actinidia00578.t1	106,160,82,62
,Actinidia00579.t1	0,4,0,0
,Actinidia00580.t1	367,517,408,205
,Actinidia00581.t1	48,95,33,23
,Actinidia00582.t1	13,29,24,35
,Actinidia00583.t1	79,98,72,43
,Actinidia00584.t1	230,281,175,44
,Actinidia00585.t1	467,579,404,198
,Actinidia00586.t1	1400,1704,1234,1052
,Actinidia00587.t1	40,78,64,55
,Actinidia00588.t1	46,104,58,56
,Actinidia00589.t1	228,210,152,6
,Actinidia00590.t1	1178,1563,1093,883
,Actinidia00591.t1	0,1,0,2
,Actinidia00592.t1	2195,2727,1876,821
,Actinidia00593.t1	2493,2954,2022,877
,Actinidia00594.t1	79,55,61,38
,Actinidia00595.t1	685,990,581,357
,Actinidia00596.t1	2399,3340,2355,1810
,Actinidia00597.t1	46017,63997,38089,13172
,Actinidia00598.t1	30041,48247,31173,16083
,Actinidia00599.t1	812,1105,803,761
,Actinidia00600.t1	60,91,88,17
,Actinidia00601.t1	1389,1761,1214,9077
,Actinidia00602.t1	0,0,0,0
,Actinidia00603.t1	0,0,0,0
,Actinidia00604.t1	235,351,184,354
,Actinidia00605.t1	499,511,384,272
,Actinidia00606.t1	128,139,108,78
,Actinidia00607.t1	1004,1143,760,926
,Actinidia00608.t2	1825,2714,1715,746
,Actinidia00609.t1	10770,16142,11305,10039
,Actinidia00610.t1	328,420,266,746
,Actinidia00611.t1	0,1,0,0
,Actinidia00612.t1	572,984,614,607
,Actinidia00613.t1	1304,1721,1417,5545
,Actinidia00614.t1	180,250,177,229
,Actinidia00615.t1	2692,3834,2418,1681
,Actinidia00616.t1	49,57,36,76
,Actinidia00617.t1	2002,2596,1845,1063
,Actinidia00618.t1	435,543,423,45
,Actinidia00619.t1	56,86,52,32
,Actinidia00620.t1	207,228,164,607
,Actinidia00621.t1	1590,2207,1427,888
,Actinidia00622.t1	2328,2971,2173,1360
,Actinidia00623.t1	174,241,161,586
,Actinidia00624.t1	198,335,196,369
,Actinidia00625.t1	732,1063,777,599
,Actinidia00626.t1	15744,25729,13566,8567
,Actinidia00627.t1	87,90,55,72
,Actinidia00628.t1	1230,1610,1276,910
,Actinidia00629.t1	235,368,215,268
,Actinidia00630.t1	9,5,13,5
,Actinidia00631.t1	86,155,116,52
,Actinidia00632.t1	983,1308,783,660
,Actinidia00633.t1	1,0,1,0
,Actinidia00634.t1	32,29,34,23
,Actinidia00635.t1	183,363,254,202
,Actinidia00636.t1	3747,4728,2869,3138
,Actinidia00637.t1	308,339,247,161
,Actinidia00638.t1	8,4,6,5
,Actinidia00639.t4	21029,27856,18803,14979
,Actinidia00640.t1	485,580,469,284
,Actinidia00641.t1	411,558,365,269
,Actinidia00642.t4	3127,4101,2778,2097
,Actinidia00643.t1	113,155,100,71
,Actinidia00644.t1	2272,3297,2119,1541
,Actinidia00645.t1	1775,1890,1388,1088
